Analys.batch,std.batch,#,ID,Chem.ID,redo.flag,PG.wts,Scin.DW,Scort.DW,Tdin.DW,Tcin.DW,IS Area,Scn.Conc.,Scort.Conc.,Tdin.Conc.,Tcin.Conc.
1,1,117,HS Batch 2,76,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1166187,0.144444,0.102703,0.068985,0.133368
1,1,120,HS Batch 2,77,,,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,1140274,Std. Conc,0.264727,0.006278,0.172492
1,1,121,HS Batch 2,78,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1122475,0.249521,0.165126,0.066543,0.228774
1,1,122,HS Batch 2,79,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1213033,0.020911,0.151682,0.004188,0.073171
1,1,123,HS Batch 2,80,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1136549,0.03468,0.16438,0.014248,0.126851
1,1,124,HS Batch 2,81,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1143406,0.045401,0.20272,0.01971,0.141009
1,1,125,HS Batch 2,82,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1156034,0.233436,0.209181,0.139128,0.256731
1,1,126,HS Batch 2,83,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1120651,0.00456,0.038238,0.001359,0.023526
1,1,127,HS Batch 2,84,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1136398,0.050009,0.295584,0.018292,0.233548
1,1,128,HS Batch 2,85,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1138218,0.05113,0.19568,0.022446,0.176881
1,1,129,HS Batch 2,86,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1192880,0.030698,0.131615,0.008501,0.088198
1,1,130,HS Batch 2,87,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1147927,0.009633,0.055016,0.002566,0.030643
1,1,131,HS Batch 2,88,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1214427,0.015645,0.11781,0.003499,0.066418
1,1,132,HS Batch 2,89,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1215491,0.031792,0.204859,0.006953,0.133322
1,1,135,HS Batch 2,90,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1183956,0.023124,0.108975,0.008552,0.0922
1,1,136,HS Batch 2,91,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1261040,0.014407,0.139368,0.003915,0.104104
1,1,137,HS Batch 2,92,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1203607,0.094775,0.253268,0.024815,0.218137
1,1,138,HS Batch 2,93,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1162344,0.06933,0.106846,0.036097,0.108
1,1,139,HS Batch 2,94,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1179306,0.15729,0.220551,0.057759,0.230496
1,1,140,HS Batch 2,95,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1199503,0.0957,0.110143,0.036253,0.130911
1,1,141,HS Batch 2,96,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1248287,0.02437,0.194239,0.007218,0.138869
1,1,142,HS Batch 2,97,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1234257,0.028805,0.070068,0.012551,0.054504
1,1,143,HS Batch 2,98,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1276065,0.21334,0.153963,0.094046,0.233968
1,1,144,HS Batch 2,100,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1331833,0.028214,0.197238,0.009038,0.160763
1,1,145,HS Batch 2,101,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1291148,0.014032,0.146616,0.005146,0.129832
1,1,146,HS Batch 2,102,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1321919,0.020154,0.124203,0.012352,0.120884
1,1,147,HS Batch 2,103,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1686380,0.074099,0.0669,0.034898,0.055393
1,1,150,HS Batch 2,104,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1368223,0.086204,0.105004,0.029113,0.092692
1,1,151,HS Batch 2,105,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1391245,0.019832,0.146938,0.007034,0.132915
1,1,152,HS Batch 2,106,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1330681,0.057825,0.149786,0.02832,0.08456
