Analys.batch,std.batch,#,ID,Chem.ID,PG.wts,Scin.DW,Scort.DW,Tdin.DW,Tcin.DW,redo.flag,Type,Std. Conc,Scn.RT,Scn.Area,Scn.IS Area,Scn.Response,Scn.Detection Flags,Scn.Conc.,Scn.pctDev,Scort.Std. Conc,,Scort.RT,Scort.Area,Scort.IS Area,Scort.Response,Scort.Detection Flags,Scort.Conc.,Scort.pctDev,Tdin.Std. Conc,Tdin.RT,Tdin.Area,Tdin.IS Area,Tdin.Response,Tdin.Detection Flags,Tdin.Conc.,Tdin.pctDev,Tcin.Std. Conc,Tcin.RT,Tcin.Area,Tcin.IS Area,Tcin.Response,Tcin.Detection Flags,Tcin.Conc.,Tcin.pctDev
1,1,111,HS Batch 2,70,21.2,0.444133868,2.396971698,0.259440566,1.803219906,,Analyte,,2.65,66999,1114070,0.06,bb,0.028794,,,,5.8,1194427,1114070,1.072,bb,0.1554,,,10.04,98432,1114070,0.088,bb,0.01682,,,16.01,1279372,1114070,1.148,bb,0.116906,
1,1,112,HS Batch 2,71,28,0.442197429,2.752802786,0.144101893,2.133628286,,Analyte,,2.65,84604,1075168,0.079,bb,0.037864,,,,5.8,1688919,1075168,1.571,bb,0.235714,,,10.04,69985,1075168,0.065,bb,0.012339,,,16.01,1856595,1075168,1.727,bb,0.182696,
1,1,113,HS Batch 2,72,22.5,0.5847632,1.432187333,0.3245148,1.303436533,,Analyte,,2.65,93741,1122534,0.084,bb,0.040236,,,,5.8,781590,1122534,0.696,bb,0.098545,,,10.04,130968,1122534,0.117,bb,0.022329,,,16.01,1004410,1122534,0.895,bb,0.089686,
1,1,114,HS Batch 2,73,27.3,0.776175824,1.273718901,0.36273044,1.422473956,,Analyte,,2.65,148941,1122649,0.133,bb,0.0648,,,,5.8,840759,1122649,0.749,bb,0.106338,,,10.04,176280,1122649,0.157,bb,0.030283,,,16.01,1308248,1122649,1.165,bb,0.118757,
1,1,115,HS Batch 2,74,25.5,1.166992471,1.163414706,0.710705647,1.315001647,,Analyte,,2.65,208381,1135050,0.184,bb,0.091004,,,,5.8,729941,1135050,0.643,bb,0.090725,,,10.02,318210,1135050,0.28,bb,0.055422,,,15.97,1152794,1135050,1.016,bb,0.102546,
1,1,116,HS Batch 2,75,23.4,0.519231282,1.885001282,0.338137564,1.452578718,,Analyte,,2.65,88426,1144712,0.077,bb,0.037156,,,,5.78,1074566,1144712,0.939,bb,0.13489,,,10.04,144467,1144712,0.126,bb,0.024197,,,15.97,1177541,1144712,1.029,bb,0.103946,
1,1,117,HS Batch 2,76,23.3,2.027175451,1.441368283,0.968158584,1.871731159,,Analyte,,2.65,329514,1166187,0.283,bb,0.144444,,,,5.8,844789,1166187,0.724,bb,0.102703,,,10.04,401451,1166187,0.344,bb,0.068985,,,15.97,1513352,1166187,1.298,bb,0.133368,
1,1,120,HS Batch 2,77,20.4,0.377556765,4.243418088,0.100632647,2.764945294,,Analyte,,2.65,56257,1140274,0.049,bb,0.023554,,,,5.8,1986033,1140274,1.742,bb,0.264727,,,10.02,37987,1140274,0.033,bb,0.006278,,,15.94,1870381,1140274,1.64,bb,0.172492,
1,1,121,HS Batch 2,78,27,3.021976556,1.999859333,0.805909667,2.770707333,,Analyte,,2.65,514189,1122475,0.458,bb,0.249521,,,,5.78,1273487,1122475,1.135,bb,0.165126,,,10.02,373644,1122475,0.333,bb,0.066543,,,15.94,2360361,1122475,2.103,bb,0.228774,
1,1,122,HS Batch 2,79,20.8,0.328745048,2.384616058,0.065840192,1.150332548,,Analyte,,2.65,53207,1213033,0.044,bb,0.020911,,,,5.8,1271416,1213033,1.048,bb,0.151682,,,10.02,27011,1213033,0.022,bb,0.004188,,,15.96,893797,1213033,0.737,bb,0.073171,
