Quantify Compound Summary Report 

Printed Tue Dec 04 12:09:22 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
95	95	HS Batch 4	HS-217	Analyte		9.12	32470	1155210	0.028	bbI		
96	96	HS Batch 4	HS-218	Analyte		9.12	13222	1179611	0.011	bbI		
97	97	HS Batch 4	HS-219	Analyte		9.12	14443	1151241	0.013	bbI		
98	98	HS Batch 4	HS-220	Analyte		9.12	15201	1124413	0.014	bbI		
99	99	HS Batch 4	HS-4_221_1611_F	Analyte		9.12	22081	1316943	0.017	bbI		
100	100	HS Batch 4	HS-4_251_1211_F	Analyte		9.12	24604	1308586	0.019	bbI		
101	101	HS Batch 4	HS-221	Analyte		9.12	15944	1177048	0.014	bbI		
102	102	HS Batch 4	HS-222	Analyte		9.12	18041	1190313	0.015	bbI		
103	103	HS Batch 4	HS-223	Analyte		9.12	5191	1152904	0.005	bbI		
104	104	HS Batch 4	HS-224	Analyte		9.12	38901	1194531	0.033	bbI		
105	105	HS Batch 4	HS-225	Analyte		9.12	67597	1165530	0.058	bbI		
106	106	HS Batch 4	HS-226	Analyte		9.12	30254	1203525	0.025	bbI		
107	107	HS Batch 4	HS-227	Analyte		9.12	19206	1252973	0.015	bbI		
108	108	HS Batch 4	HS-228	Analyte		9.12	30109	1232892	0.024	bbI		
109	109	HS Batch 4	HS-229	Analyte		9.12	60582	1259522	0.048	bbI		
110	110	HS Batch 4	HS-230	Analyte		9.12	36076	1202820	0.030	bbI		
111	111	HS Batch 4	HS-231	Analyte		9.12	6940	1194006	0.006	bbI		
112	112	HS Batch 4	HS-232	Analyte		9.12	17914	1263052	0.014	bbI		
113	113	HS Batch 4	HS-233	Analyte		9.12	40368	1233307	0.033	bbI		
114	114	HS Batch 4	HS-4_221_1611_G	Analyte		9.14	22967	1349906	0.017	bbI		
115	115	HS Batch 4	HS-4_251_1211_G	Analyte		9.12	26169	1360708	0.019	bbI		
116	116	HS Batch 4	BLANK_16112018_B	Blank				46				
117	117	HS Batch 5	BLANK_19112018_A	Blank		9.50	9	99	0.090	bbI		
118	118	HS Batch 5	HS-5_242_1911_A	Analyte		9.24	4669	394017	0.012	bbI		
119	119	HS Batch 5	HS-5_259_1911_A	Analyte		9.22	6388	439728	0.015	bbI		
120	120	HS Batch 5	HS-205_redo	Analyte		9.22	1228	422237	0.003	bbI		
121	121	HS Batch 5	HS-222_redo	Analyte		9.19	4834	440670	0.011	bbI		
122	122	HS Batch 5	HS-234	Analyte		9.17	11065	769650	0.014	bbI		
123	123	HS Batch 5	HS-235	Analyte		9.17	2831	471508	0.006	bbI		
124	124	HS Batch 5	HS-236	Analyte		9.17	5388	504165	0.011	bbI		
125	125	HS Batch 5	HS-237	Analyte		9.14	7463	568884	0.013	bbI		
126	126	HS Batch 5	HS-238	Analyte		9.14	16412	599875	0.027	bbI		
127	127	HS Batch 5	HS-239	Analyte		9.14	22390	862911	0.026	bbI		
128	128	HS Batch 5	HS-240	Analyte		9.14	8678	719578	0.012	bbI		
129	129	HS Batch 5	HS-241	Analyte		9.14	11361	849564	0.013	bbI		
130	130	HS Batch 5	HS-242	Analyte		9.14	8499	840425	0.010	bbI		
131	131	HS Batch 5	HS-243	Analyte		9.12	17019	1092329	0.016	bbI		
132	132	HS Batch 5	HS-244	Analyte		9.12	15278	781211	0.020	bbI		
133	133	HS Batch 5	HS-5_242_1911_B	Analyte		9.12	11855	771849	0.015	bbI		
134	134	HS Batch 5	HS-5_259_1911_B	Analyte		9.12	10974	758134	0.014	bbI		
135	135	HS Batch 5	HS-245	Analyte		9.12	2079	701705	0.003	bbI		
136	136	HS Batch 5	HS-246	Analyte		9.12	4674	694828	0.007	bbI		
137	137	HS Batch 5	HS-247	Analyte		9.12	10139	622995	0.016	bbI		
138	138	HS Batch 5	HS-248	Analyte		9.12	1039	634110	0.002	bbI		
