Quantify Compound Summary Report 

Printed Fri Nov 09 10:38:52 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
48	48	HS Batch 1	HS-20	Analyte	1.0000	8.55	601132	601132	1.000	bb	1.000000	0.0
49	49	HS Batch 1	HS-21	Analyte	1.0000	8.55	625251	625251	1.000	bb	1.000000	0.0
50	50	HS Batch 1	HS-22	Analyte	1.0000	8.55	581051	581051	1.000	bb	1.000000	0.0
51	51	HS Batch 1	HS-23	Analyte	1.0000	8.55	607742	607742	1.000	bb	1.000000	0.0
52	52	HS Batch 1	HS-24	Analyte	1.0000	8.55	598305	598305	1.000	bb	1.000000	0.0
53	53	HS Batch 1	HS-25	Analyte	1.0000	8.52	611470	611470	1.000	bb	1.000000	0.0
54	54	HS Batch 1	HS-1_250_0711_C	Analyte	1.0000	8.52	606767	606767	1.000	bb	1.000000	0.0
55	55	HS Batch 1	HS-1_299_0711_C	Analyte	1.0000	8.52	645452	645452	1.000	bb	1.000000	0.0
56	56	HS Batch 1	HS-26	Analyte	1.0000	8.55	606813	606813	1.000	bb	1.000000	0.0
57	57	HS Batch 1	HS-27	Analyte	1.0000	8.55	599755	599755	1.000	bb	1.000000	0.0
58	58	HS Batch 1	HS-28	Analyte	1.0000	8.55	608364	608364	1.000	bb	1.000000	0.0
59	59	HS Batch 1	HS-29	Analyte	1.0000	8.55	602246	602246	1.000	bb	1.000000	0.0
60	60	HS Batch 1	HS-30	Analyte	1.0000	8.52	647534	647534	1.000	bb	1.000000	0.0
61	61	HS Batch 1	HS-31	Analyte	1.0000	8.50	665358	665358	1.000	bb	1.000000	0.0
62	62	HS Batch 1	HS-32	Analyte	1.0000	8.50	627067	627067	1.000	bb	1.000000	0.0
63	63	HS Batch 1	HS-33	Analyte	1.0000	8.50	643175	643175	1.000	bb	1.000000	0.0
64	64	HS Batch 1	HS-34	Analyte	1.0000	8.50	665299	665299	1.000	bb	1.000000	0.0
65	65	HS Batch 1	HS-35	Analyte	1.0000	8.47	643253	643253	1.000	bb	1.000000	0.0
66	66	HS Batch 1	HS-36	Analyte	1.0000	8.47	672742	672742	1.000	bb	1.000000	0.0
67	67	HS Batch 1	HS-37	Analyte	1.0000	8.47	653419	653419	1.000	bb	1.000000	0.0
68	68	HS Batch 1	HS-38	Analyte	1.0000	8.47	666674	666674	1.000	bb	1.000000	0.0
69	69	HS Batch 1	HS-1_250_0711_D	Analyte	1.0000	8.47	684560	684560	1.000	bb	1.000000	0.0
70	70	HS Batch 1	HS-1_299_0711_D	Analyte	1.0000	8.47	673395	673395	1.000	bb	1.000000	0.0

Compound 9:  B-RESORCYLIC ACID (SURROGATE)

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
1	1	HS Batch 1	SalicinSTD_0015_0711_A	Standard	1.0000			435155				
2	2	HS Batch 1	SalicinSTD_003_0711_A	Standard	1.0000	4.94	60	450292	0.000	bb	2.086032	108.6
3	3	HS Batch 1	SalicinSTD_015_0711_A	Standard	1.0000			467967				
4	4	HS Batch 1	SalicinSTD_0375_0711_A	Standard	1.0000	5.00	9	469299	0.000	bb	0.298191	-70.2
5	5	HS Batch 1	BLANK_07112018_B	Blank	1.0000			50				
6	6	HS Batch 1	SalicortinSTD_0015_0711_A	Standard	1.0000	5.00	72	505405	0.000	bb	2.252889	125.3
7	7	HS Batch 1	SalicortinSTD_003_0711_A	Standard	1.0000	4.96	44	526289	0.000	bb	1.328815	32.9
8	8	HS Batch 1	SalicortinSTD_015_0711_A	Standard	1.0000	4.84	12	550080	0.000	bb	0.334722	-66.5
9	9	HS Batch 1	SalicortinSTD_0375_0711_A	Standard	1.0000	4.94	4	559202	0.000	bb	0.112403	-88.8
10	10	HS Batch 1	SalicortinSTD_075_0711_A	Standard	1.0000			535144				
11	11	HS Batch 1	SalicortinSTD_100_0711_A	Standard	1.0000	5.04	75	538973	0.000	bb	2.204171	120.4
12	12	HS Batch 1	BLANK_07112018_C	Blank	1.0000	4.98	57	156	0.364	bb	5739.808184	573880.8
13	13	HS Batch 1	TremulacinSTD_0015_0711_A	Standard	1.0000	5.00	58	544691	0.000	bb	1.686378	68.6
14	14	HS Batch 1	TremulacinSTD_003_0711_A	Standard	1.0000			614746				
15	15	HS Batch 1	TremulacinSTD_015_0711_A	Standard	1.0000			650126				
16	16	HS Batch 1	TremulacinSTD_0375_0711_A	Standard	1.0000			590253				
17	17	HS Batch 1	TremulacinSTD_075_0711_A	Standard	1.0000	4.82	10	632565	0.000	bb	0.255304	-74.5
18	18	HS Batch 1	TremulacinSTD_100_0711_A	Standard	1.0000	4.96	11	601401	0.000	bb	0.294106	-70.6
19	19	HS Batch 1	BLANK_07112018_D	Blank	1.0000			286				
